"Estimate" "Std. Error" "z value" "Pr(>|z|)"
"(Intercept)" 993.193692419179 668.100718563562 1.48659276187365 0.137122400656584
"poor_fair_health" 1.19408247228498 30.4493535285677 0.0392153636747884 0.968718684617461
"adult_smoking" 65.4598465642279 27.2900703485225 2.39866902973271 0.0164547800525637
"adult_obesity" 11.3166474899736 13.2109115838166 0.856613672582333 0.391658426916032
"poor_physical_health_days" -1.84845566901309 3.75695161604964 -0.492009442207484 0.622712668575294
"poor_mental_health_days" -1.68548179625824 3.36733086417124 -0.500539407692883 0.616695315193056
"excessive_drinking" 32.4445966803734 17.4122998867892 1.86331483441709 0.0624179842540619
"pct_below_18" -134.509189441036 31.998135336313 -4.20365712024439 2.62636693318344e-05
"pct_above_65" -97.7897826079015 23.3150752962242 -4.19427264829543 2.73748557697375e-05
"pct_nonhispanic_black" -193.502996774405 54.5742913261164 -3.54568043070135 0.000391600794982832
"pct_native_american" -175.881369440842 53.1206353947455 -3.31098015175924 0.000929698026374239
"pct_hispanic" -196.112725674195 54.0632043916578 -3.62747136210181 0.000286210508471342
"pct_females" 196.993603322813 50.3286813831374 3.9141419546274 9.07262519274038e-05
"pct_nonproficient_english" 77.8667967705025 38.1558716212696 2.04075528776799 0.0412751568695436
"diabetes_prevalence" -19.1123240210079 21.5181787239394 -0.888194315429917 0.374436236047054
"physical_inactivity" -25.8350667496019 12.333199002384 -2.09475795733191 0.0361925142230476
"pct_pacific_islander" -207.885816945061 205.529199369874 -1.01146609621607 0.311793400170659
"pct_asian" -185.659930628718 62.2702211648581 -2.98152033436963 0.00286820998186241
"pct_nonhispanic_white" -220.26850119638 56.8054320875857 -3.87759573515361 0.000105493820670574
"severe_housing_issues" -0.920636877703787 16.1920169927351 -0.0568574550111238 0.954658745437914
"food_insecurity" 11.5858974055457 20.3509236703819 0.569305727504027 0.569148680607624
"social_associations" 0.259070768836879 0.135219009349016 1.91593452787535 0.0553734298925944
"insufficient_sleep" -15.1280910896786 15.3004508103785 -0.988734990698249 0.322792818327034
"frequent_physical_distress" -3.01162125974269 148.20996471608 -0.020319964757511 0.983788129501103
"frequent_mental_distress" -96.1258240990582 147.808676149163 -0.650339524061847 0.515472932039574
"homeownership" -7.75682956353936 9.16654981436366 -0.846210375836794 0.397435394698864
"urban_rural_descLarge fringe metro" 0.967003833919043 1.62162750703015 0.596316866682914 0.550963565423445
"urban_rural_descMedium metro" 3.54314772695089 1.6492173382928 2.14838132287562 0.0316834752751967
"urban_rural_descMicropolitan" 4.86506050090942 2.08933361825439 2.32852257696121 0.019884371843011
"urban_rural_descNoncore" -9.48027076335558 1156.31039205044 -0.00819872486534049 0.993458437298071
"urban_rural_descSmall metro" 3.61970491614727 1.87971183894986 1.92567011663314 0.0541455775214776
"pct_covid_deaths" -36.2492007474839 11.8166524819877 -3.06763703195462 0.00215758511661118
"never" -321.403926909429 438.014472956157 -0.733774673563354 0.463086078620744
"rarely" -336.732064305692 442.966540425682 -0.760174942292706 0.447150020979307
"sometimes" -358.213672116252 441.923540415354 -0.810578390505233 0.417607830735978
"frequently" -333.613682019507 441.25085160239 -0.75606354255861 0.449611099048383
"always" -320.247342195904 441.276350028451 -0.725729675236971 0.468004506000355
"pct_less_than_high_school" -5.14394804944245 5.23333138702133 -0.982920375002327 0.325646629038613
"pct_high_school_diploma" -5.06658308890194 5.24619855927522 -0.965762738801467 0.334162917549825
"pct_college_associates" -5.26513178800015 5.2442865237768 -1.00397485227568 0.315390735087362
"pct_bachelors_or_higher" -5.24118682168861 5.24788596961872 -0.998723457794455 0.317928673853332
"unemployment_rate" 0.225664982705971 0.223922403321207 1.00778206806875 0.31355909630578
"median_household_income" 4.57295923960218e-05 7.11942639919774e-05 0.642321302755161 0.520664585337755
"log_poverty_rating" 13.27622467143 6.11949936548402 2.16949522804304 0.030045106258341
"pct_voters" 42.8257092501468 10.4518055711865 4.09744603058907 4.17733519161651e-05
"log_population" -10.768392748589 6.04664727932506 -1.78088653945612 0.0749309880284206
"log_traffic_volume" 0.368847590115134 1.32831237418421 0.27768136267018 0.78125696859996
